Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
No,No,Si,2,No,10,2,Si,2,No,Per la seconda volta abbiamo avuto la macchina bloccata in officina x 15/20 giorni. Accettazione più che buona Tempi lunghi e preventivo (nonostante la macchina in garanzia) costo della riparazione eccessivo con auto di cortesia a pagamento per 13 giorni
No,No,Si,8,Si,10,10,Si,10,Si,Nulla da segnalare
Si,No,No,10,,10,10,Si,10,Si,"***, il consulente service gentile, disponibile e preparato. Spero di ritrovarlo la prossima volta. Saluti, ***"
Si,No,No,10,,8,10,Si,10,No,TUTTO APPREZZABILE IN PERIODO NEI DINTORNI DEL FERRAGOSTO ECCETTO IL LAVAGGIO DELL'AUTO SBRIGATIVO ED INACCURATO (SOPRATUTTO NEGLI INTERN)
Si,No,No,10,,10,10,Si,10,Si,La macchina sostitutiva di cortesia dovrebbe essere un servizio non a pagamento
No,No,Si,10,Si,10,10,No,10,Si,N.n.
No,Si,No,10,,10,10,,9,Si,Ottima assistenza e professionalità! Bravi ragazzi!
Si,No,No,10,,10,10,No,10,Si,Ottimo servizio
Si,No,No,10,,10,10,Si,10,Si,A prescindere dalla cortesia e professionalità del personale ritengo essere inadeguati i locali in  quanto poco accoglienti e poco idonei all'accessibilità entrata e uscita dall'officina non per inadeguatezza alla guida ma per  angusto spazio di manovra.
No,No,Si,10,Si,10,10,Si,10,Si,Ricevuto informazioni dettagliate Lavoro eseguito in tempi brevi molto soddisfatta
No,No,Si,10,Si,10,10,Si,8,No,"i tempi conteggiati per la riparazione, secondo me sono eccessivi. Ho dovuto eseguire in proprio, lo smontaggio e poi il rimontaggio: non sono del mestiere, ma ho impiegato circa, il 40%, in meno."
No,Si,No,10,,10,10,,10,Si,Sarebbe meglio avere contatto diretto telefonico con chi ti accoglie al service non che ogni volta per parlarci insieme si passa da diversi operatori e delle volte non si viene neanche ricontattati Per il resto tutto bene
No,No,Si,10,No,10,10,No,10,Si,"Molto soddisfatto della assistenza ricevuta , complimenti al capo officina che ha capito il problema e lo ha risolto, tutto Il personale molto molto gentile e preparato"
Si,No,No,10,,10,10,No,10,Si,Ottimo servizio Personale competente e amichevole  Costo adeguato
No,Si,No,10,,10,10,,10,Si,Personale gentile e chiaro. Intervento fatto entro i tempi rapidi e professionalità.
No,No,Si,10,Si,10,10,Si,10,Si,"Suggerisco una piccola correzione nel vostro questionario: è si scrive con l'accento grave non con quello acuto. Grazie, saluti. ***"
Si,Si,No,9,,10,10,No,9,Si,Única nota dolente un guasto così importante in una macchina con 15 mesi di vita … speriamo non accada ancora.
No,Si,No,1,,1,1,,1,Si,Io ho portato la macchina a cosio per Rete di Kia connect ma non hanno fatto niente e mi hanno chiesto di pagare lo stesso 50€ ancora sto chiedendo perché ho pagato?
No,Si,Si,5,No,8,8,No,6,No,"Ho avuto problemi importanti e ripetuti su un auto nuova è molto costosa. Secondo Autotorino responsabilità di Jeep, ma io non saprò mai la verità. Il servizio di auto sostitutiva, mal gestito nonostante la buona volontà del commerciale di riferimento, ha"
Si,No,No,10,,10,10,No,10,Si,Nessun suggerimento. Grande professionalità.
Si,Si,Si,10,Si,10,10,Si,10,Si,"0ttimo personale,il signor *** ed *** sono rari, sia per professionalita' sia per velocita',non si dimenticano nulla in assoluto .il mio parere conta,hofatto 30 anni di risorse umane e organizzazione aziendale"
Si,No,No,2,,2,2,No,2,No,"Non sono più vostro cliente, perché continuano ad arrivarmi vostre notifiche?"
No,No,Si,10,Si,10,10,Si,10,Si,Ottima gentilezza e professionalità.
Si,No,No,8,,10,10,No,8,Si,"Suggerisco un po' carino il prezzo, considerando che ho speso 48 euro per smontaggio due gomme per sostituzione pastiglie, quando il gommista mi prende 40 euro per inversioni di quattro gomme."
Si,Si,No,2,,10,10,No,10,Si,Circa l'aspetto attinenti ad amici e parenti la mia valutazione nella realtà è  positiva
No,No,Si,10,Si,10,10,No,10,Si,"Concessionario Villorba, sempre molto disponibili."
Si,No,No,10,,10,10,Si,10,Si,Sempre ottima accoglienza e personale preparato per l’intervento da eseguire… e ottimo servizio per avvertire il cliente alla conclusione del lavoro eseguito.
No,No,Si,3,No,10,9,Si,9,No,"E’ la seconda volta che devo riportare l’auto a risistemare il Wi-Fi, mi hanno detto che era un problema di aggiornamento… vorrei chiedere a BMW se ogni sei mesi devo riportarla al concessionario per problemi di aggiornamento? Se fosse così  sarei veramen"
Si,No,No,9,,10,9,Si,10,Si,Ottimo il video della lavorazione....
No,Si,No,10,,8,9,,10,Si,Sono rimasto soddisfatto … intervento velocissimo … non è stato necessario l’utilizzo di una vettura sostitutiva … ho apprezzato la cortesia del responsabile BMW… conferma la mia convinzione che BMW è la numero1 … dopo 5 vetture la prossima sarà ancora BM
Si,No,Si,10,Si,10,10,Si,10,Si,"Avevo già risposto a questo questionario subito dopo l'intervento, dicendomi pienamente soddisfatto in tutto per quanto riguarda AUTOTORINO. Mi viene continuamente richiesto e lo ripeto. per me Autotraino è extra in tutto: servizi, tempi di attesa e conse"
Si,No,No,10,,10,10,Si,10,Si,Nessun
Si,Si,Si,10,Si,10,10,Si,10,Si,Ok tutti professionali
Si,No,No,10,,10,10,Si,10,Si,Perfetto
Si,No,No,10,,9,9,Si,9,Si,Ottima professionalità
No,No,Si,10,Si,10,10,Si,10,Si,"Sempre gentili e veloci, complimenti!"
Si,No,No,10,,10,10,No,10,Si,"Suggerimento: Quando ho fatto i tagliandi a Bassano con Autogemelli, mi riconsegnavano la macchina lavata. Atto non dovuto, ma molto gradito."
Si,No,No,9,,9,9,Si,7,No,"Non concordo che 7 significhi non soddisfatto. Secondo me i costi del primo tagliando si potrebbero migliorare, invogliano così a fare gli altri negli anni successivi"
No,No,Si,1,No,2,2,No,1,No,"Il mio giudizio sul servizio è negativo. Sono arrivata con l’auto funzionante, ma l’ho dovuta ritirare con il motore smontato e con costi più alti di quanto comunicato inizialmente (200 € al telefono diventati 500+200 €). Non ho ricevuto spiegazioni chiar"
Si,No,No,10,,10,10,No,9,Si,Per ora sono soddisfatto di questa concessionaria
Si,No,No,10,,10,10,Si,10,No,"prima devono capire e sistemare il problema delle luci nell'abitacolo che dopo due o tre ore (non posso saperlo)aver messo la macchina in garage si riaccendono da sole e sono costretto a lasciarle sempre spente perché si scaricherebbe la batteria, creando"
Si,No,No,4,,10,10,Si,10,No,"Ho dovuto riportare l auto il giorno dopo la manutenzione xche perdeva olio e l avvio del motore era difficoltoso (era perfetto prima della consegna in officina) credo siano inconvenienti molto gravi, visti i costi della manodopera mi aspetto di trovare i"
Si,No,No,10,,10,10,Si,10,Si,Puntuali
Si,No,No,10,,10,10,Si,10,Si,No suggerimenti e commenti
No,No,Si,10,Si,10,10,No,10,Si,Professionalità e cortesia
No,No,Si,10,Si,10,10,Si,10,Si,"Ho avuto un problema durante un viaggio in auto, macchina in recovery, mi sono fermato presso questa Concessionaria che mi ha accolto benissimo e in un'ora mi ha rimesso in strada con il problema risolto (sostituzione manicotto intercooler). Sono verament"
No,No,Si,9,Si,9,9,Si,7,No,Attendo mi sia inviata la fattura. Ricordo la mail ***. Grazie.
Si,No,No,9,,9,9,Si,8,Si,"Su vs sito - in fase di prenotazione tagliando - indicate un prezzo che non corrisponde a quello reale. Suggerisco di aggiornare il sito, perché il cliente vuole la massima trasparenza"
Si,No,No,9,,10,10,No,9,No,"Ho segnalato un malfunzionamento della radio Dab ma il problema non è stato risolto, anzi penso nemmeno considerato, non avendone evidenza in fattura e persistendo la disfunzione."
Si,No,No,9,,9,10,No,9,Si,Era un semplice tagliando incluso nella garanzia all'atto di acquisto.
Si,No,No,10,,10,10,Si,9,Si,All'interno un po' carente di portaoggetti.
Si,No,No,7,,8,9,Si,9,No,Ho un problema sulla macchina relativo ai fasioni che si sono sbiancati e la vostra risposta è stata a dir poco imbarazzante
Si,No,No,10,,10,10,Si,10,Si,Servizio impeccabile! Grazie!
No,Si,No,10,,10,10,,10,Si,"Personale gentile, lavorazione veloce"
No,Si,Si,10,No,10,10,No,9,No,Sarebbe utile che i tecnici o meccanici parlassero con i proprietari delle auto per esporre meglio i problemi e non fare passaparola con accettazione
Si,No,No,10,,10,10,Si,10,Si,Soddisfatto
No,No,Si,10,Si,8,10,No,10,Si,Grazie
No,No,Si,10,Si,10,10,Si,10,Si,Bravissimi e professionali dall' accoglienza al ritiro della vettura
No,No,Si,10,Si,10,10,Si,10,Si,Sempre molto professionali!! Bravissimo *** in accettazione
Si,No,No,6,,8,10,No,2,No,"Prezzi assurdi. 450€ per una manutenzione ordinaria, spiegazione dei costi inesistente, solo le testuali parole dell'impiegata:""Era tutto a posto"". Non mi è stato fatto nessun preventivo, altrimenti l'avrei portata da un'altra parte. Ritirata in giorno do"
No,No,Si,10,Si,10,10,No,10,Si,"Il personale dell'officina molto gentile e disponibile, essendo arrivata lì senza preavviao, data l'urgenza del problema"
No,No,Si,10,No,10,10,No,10,Si,"Totalmente soddisfatto, ottima accoglienza e professionalità. Ringrazio tutti"
No,Si,No,10,,10,10,,10,Si,"l'intervento è per fortuna in garanzia. E' stata tenuta circa un mese in cui ho continuato a pagare la rata, e l'auto sostitutiva, solo a pagamento, per fortuna che non l'ho presa, perché sembrava un intervento di pochissimi giorni."
Si,No,No,10,,10,10,Si,10,Si,Trovi sempre cordialità disponibilità e competenza
No,No,Si,10,Si,10,10,Si,10,Si,"Ho trovato personale efficiente, struttura molto bene articolata e funzionale.Veramente non ho da eccepire su quanto sopra. Ho da segnalare una incongruenza : perché non possono sostituirsi singole componenti di un pezzo singolo ( ad esempio il vetro del f"
No,Si,No,10,,10,10,,9,Si,Persone gentilissime e disponibili. Grazie.
Si,No,No,9,,10,9,Si,6,Si,Tutto bene tranne i costi secondo me elevati.
Si,No,No,10,,10,10,Si,10,Si,Grazie mille
No,Si,No,10,,10,9,,10,Si,Penso in tutta onestà che migliorare la perfezione sia impossibile. Continuate cosi bravi *** e *** .
Si,No,No,7,,8,8,No,8,No,Maleducato personale e insoddisfatto sui prezzi
Si,No,Si,9,Si,9,9,No,9,Si,Tempi di attesa per parlare con chi prende in carico l'auto un'pò lunghi
Si,No,No,10,,10,10,Si,10,Si,Concessionario ottimo e personale qualificato!
Si,No,No,10,,10,9,No,10,Si,"Cortesia, disponibilità, tempi di lavorazione, comodità durante l'attesa, pulizia della macchina alla consegna."
Si,No,No,8,,7,8,No,7,No,La bella immagine che ha la vostra società è rovinata quando si entra in sala mostra dove sono esposte le auto senza che qualcuno dica qualcosa mentre i commerciali stanno nei loro box senza clienti a guardare il giornale e il cellulare mah.
No,No,Si,10,Si,10,10,Si,10,Si,"Molto soddisfatto, il consulente si è rivelato Competente, esaustivo, empatico Complimenti"
No,No,Si,10,Si,10,10,Si,10,Si,"Non potevo avere assistenza migliore, da parte di tutto il personale, grazie"
No,No,Si,10,Si,10,10,Si,10,Si,Molto gentile e professionale *** ***
Si,No,No,6,,9,9,No,9,No,"Purtroppo l'officina pur gestendo il libretto, non si è accorta che la revisione era scaduta e ora sono incappato in multa e fermo auto. Capisco che non è onere dell'officina, ma un alert fa parte dei sistemi informatici BMW  sarebbe stato molto gradito e"
No,Si,No,2,,2,2,,2,No,"Mi avete mandato mille Messaggi per un veicolo che ho venduto nel 2022 ,non avete aggiornato sui vostri sistemi il mio cellulare collegato alla giusta targa."
Si,No,Si,9,Si,8,9,Si,8,No,"La macchina dopo il tagliando non è neanche stata lavata !!!! In fattura e’ segnalo l’omaggio di un formaggio che non è stato consegnato…,,,"
Si,No,No,10,,10,10,No,10,Si,"Continuate così, sempre attenti ai bisogni dei clienti. BRAVI!"
Si,No,No,10,,10,10,Si,10,Si,Sono ormai 8 anni che mi rivolgo a voi e mi sono sempre trovato al meglio. Continuate così per favore!
Si,No,No,10,,10,10,Si,10,Si,"Per dare un valore aggiuntivo al servizio fornito, suggerirei di valutare se offrire il lavaggio dell’auto dopo l’intervento di manutenzione."
No,No,Si,4,No,10,6,No,2,No,Dopo almeno 20 volte in officina problema  non risolto
Si,No,No,10,,10,10,Si,10,Si,"Segnali e ringrazio la signora *** dell’accettazione per la cortesia, professionalità e disponibilità"
No,No,Si,10,Si,10,10,Si,10,Si,"""Desidero ringraziare di cuore il Sig. ***, Consulente Service, per la sua disponibilità e professionalità."""
Si,No,No,5,,7,7,Si,6,No,"Dopo un tagliando, mi aspetto di trovare motore della macchina quantomeno soffiato e pulito, e la macchina lavata queste sono accortezze e piccolezze che il cliente guarda"
Si,No,No,10,,10,6,Si,10,Si,"Aggiungo solo un grazie particolare per la persona che il 14 Agosto, alle 13,15 Ca. mi permesso di entrare malgrado la chiusura per la pausa pranzo, evitandomi un sicuro colpo di sole ed aiutandomi in ogni modo possibile ben oltre le le sue attribuzioni."
Si,No,No,10,,10,10,Si,10,Si,Più che soddisfatto
Si,No,No,10,,10,10,Si,10,Si,Bravissimi gentilissimi
No,No,Si,3,No,4,4,Si,5,No,Pessimo servizio. Settimane e settimane di totale abbandono. La faremo richiamare e non sentivi mai nessuno...
Si,No,No,10,,10,10,Si,10,Si,Molto soddisfatto di tutto
Si,No,No,10,,10,10,Si,10,Si,Alla mia prima esperienza direi positiva
Si,No,No,10,,10,10,Si,10,Si,Non sono soddisfatto dell affidabilità dell automobile che sta richiedendo costi di manutenzione straordinarie Sarò sfortunato ma la mia auto precedente venduta dopo 10 anni non ha mai presentato problemi avendo fatto anche molti più chilometri (marca Ren
Si,No,Si,10,Si,10,10,Si,10,Si,"Tutto perfetto, cordialità, professionalità e rispetto dei tempi. Molto soddisfatta. Grazie"
No,No,Si,1,No,2,2,Si,2,No,"Non fatto bene lavoro .dopo 4 ore ,spia ancora accesa."
Si,No,No,10,,10,10,Si,10,Si,Professionali ed impeccabili. Grazie
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto!
Si,No,No,10,,10,10,Si,10,Si,Molto bene tutto - grazie
No,No,Si,10,Si,10,10,Si,10,Si,Una squadra top
Si,No,No,9,,10,10,No,10,-,"ho trovato un accoglienza veramente eccellente, con persone competenti; certo, devo far da cavia perchè KGM è appena arrivata nella famiglia e devono studiarsela per poi risolvere i problemi che ho segnalato, in particolare quando la vettura strappa in fa"
Si,No,No,10,,8,10,Si,10,Si,Mi e mancato l omaggio che date sempre dopo il taglianfo probabilmente si e dimenticato perke sulla fatyura era elencato . Pazienza sono comunque soddusfatta
No,No,Si,10,Si,10,10,Si,10,Si,"Accoglienza e servizio al Top,personale gentile e disponibile."
Si,No,No,10,,10,10,Si,10,Si,Grazie
Si,No,No,10,,10,10,Si,10,Si,Bravissimi e Gentilissimi
No,Si,Si,8,No,10,9,No,9,No,Personale gentile.Devo tornare per verificare un difetto che la vettura fa quando piove.Per il resto tutto.
No,Si,No,9,,10,10,,10,Si,Offrite comunque una auto di cortesia considerato che il richiamo è in funzione di un problema di  fabbricazione.
Si,No,No,9,,9,9,No,9,Si,Maggiore presentazione alla vendita della vettura.
No,No,Si,10,Si,10,10,Si,10,Si,Servizio eccellente. Grazie
No,No,Si,10,Si,10,10,Si,10,Si,Eccellente operatrice ***
Si,No,No,9,,9,9,Si,9,Si,Personale gentilissimo
No,Si,No,10,,10,10,,10,Si,Grazie *** una brava persona
Si,No,No,10,,10,10,Si,10,Si,Bravi. Complimenti
No,No,Si,10,Si,10,10,Si,10,Si,"Non ho commenti, ma solo vomplimenti a tutta la nuova gestione Autotorino sia x la gentilezza e disponibilità degli addetti GRAZIE"
Si,No,No,10,,10,10,Si,10,Si,Non lasciato alcuna auto
No,No,Si,4,Si,10,10,Si,10,No,"Non considerando che mi avete imputato un danno da usara su un'auto presa a gennaio e già riparata due volte con lo stesso problema, il primo in garanzia il secondo (consecutivo) a pagamento, non può essere che una persona deve rimanere 20 giorni senza au"
No,No,No,10,,10,10,,10,Si,"Sehr freundlich, extrem zuvor kommend, auch das kleine Präsent kannte ich so noch nicht-Danke besonders lobenswert war der Abschleppdienstfahrer- trotz Sprachbarriere beiderseits wusste er sich mit SMS versenden zu helfen und er war super freundlich und"
Si,No,No,10,,10,10,No,10,Si,Avere un preventivo  prima di usufruire i lavori  grazie mille
No,Si,No,10,,9,10,,10,Si,.
Si,No,No,10,,9,9,No,10,Si,Ottimo servizio
No,Si,No,9,,9,9,,9,Si,"Servizio professionale, avrei gradito una prova della sostituzione avvenuta visionando il pezzo difettoso e/o qualche immagine della sostituzione."
Si,No,No,10,,10,10,No,10,Si,Nessuno
Si,No,No,10,,10,10,Si,8,Si,Preventivo solo verbale; Specificare meglio i costi della manodopera da quelli delle parti di ricambio.
Si,No,No,2,,2,4,No,2,No,"Da cliente storico possessore di più classe G, ieri dopo essere mi recato alla officina di ***, sono rimasto esterrefatto: passato per un rabbocco della AdBlu, pressione gomme e controllo livello olio mi è stata fatta pagare la manodopera di"
Si,No,No,10,,9,10,Si,10,Si,Quando sono arrivato a casa mi ha dato problemi per la pressione gomme … va be .. attendo una risposta da voi … o un email per chiedermi… se tutto ok … vi ho dato 10 … ma per me è qualcosa meno … attendo una  chiamata da voi grazie
No,Si,No,10,,10,10,,10,Si,Tutto ok
Si,No,No,10,,10,10,Si,10,Si,Soddisfatto del servizio offerto
No,No,Si,9,Si,9,9,Si,9,No,I prezzi dei ricambi sono proibitivi
Si,No,No,10,,10,10,Si,10,Si,Una grande organizzazione
Si,No,No,10,,10,10,No,10,Si,"L’assistenza ricevuta è stata ottima da parte di *** ***. Consegna vettura, ritiro sostitutiva, disponibilità ottime. Soddisfatto pienamente"
Si,No,No,5,,9,10,Si,3,No,Prezzo tagliato alto e aggiunta di una mezz'ora in eccesso in fattura
Si,No,No,10,,10,10,Si,10,Si,"Staff ottimo!! Grazie per disponibilità, chiarezza e celerità!"
No,No,Si,10,Si,10,10,Si,10,Si,Ottima concessionaria Mercedes Benz!
No,No,Si,6,No,8,4,Si,8,No,"Non voglio essere particolarmente polemico, ma i tempi di intervento ed alcune diagnosi sono molto discutibili e potrebbero rivelarsi parecchio costose per niente. Suggerirei di accorciare i tempi di attesa, une mese e mezzo o due mesi sono troppo lunghi"
Si,No,No,10,,10,10,No,10,Si,Continuare a lavorare con il stesso entusiasmo e cortesia
Si,No,No,10,,10,10,Si,10,Si,"Ho parlato con il Sig.***,gentile,disponibile e molto chiaro nelle spiegazioni.Una certezza!"
Si,No,No,8,,8,4,Si,6,No,"Itempi di attesa sono sempre troppo elevati. L'auto di cortesia ha un prezzo Alto, non credo sia ""conveninte""."
Si,No,No,10,,10,10,No,10,Si,Continuate in questo modo
No,No,Si,10,Si,10,10,Si,10,Si,"Bravissimi all'accoglienza e in officina,i miei complimenti.Potesssi dire lo stesso dei venditori...."
Si,No,No,9,,9,9,Si,9,No,Ho portato la macchina presso 2 officine Autotorino: Vigevano voto 8 Milano *** Media del 9 . Presso Vigevano negli ultimi 3 anni ad ogni tagliando sono costretto a ritornare per piccole mancanze. Presso Milano sempre soddisfatto. . Disponibil
Si,No,No,2,,4,10,Si,6,No,"Ultima visita che farò presso di voi, prezzi quasi raddoppiati rispetto ad altre concessionarie Smart. Oltretutto mi sono state addebitate cose non fatte, tipo liquido tergicristalli che poco prima di venire da voi avevo riempito con liquido apposito e ch"
No,No,Si,6,Si,10,10,Si,6,No,"Ordinato 2a chiave con telecomando ML230.Arrivata invece basica senza telecomando. Faccio notare l'errore. La risposta è ""è arrivata così"". Chiedo conto della ev.diff.di prezzo ma non si sa rispondere.L'acconto versato di 100€ non ha traccia e viene trova"
No,No,Si,10,Si,10,10,Si,10,Si,.
No,Si,No,5,,3,9,,9,No,"Sarebbe il caso di rispettare le date comunicate per la riconsegna delle auto, e magari contattare in caso di ritardi. La cosa davvero intollerabile è che il concessionario non mi ha risposto al telefono per due giorni consecutivi, sia l'officina che il c"
No,Si,No,9,,9,9,,9,No,"Buongiorno, nell’ insieme posso ritenermi soddisfatto del servizio officina, non molto per la parte organizzativa, ci sono volute diverse telefonate per avere l’appuntamento , per la precisione 4  e quando mi sono presentato non risultava esserci il mio a"
Si,No,Si,10,Si,10,10,Si,9,Si,Tutto perfetto ….😊😊😊
Si,No,No,10,,10,10,Si,10,Si,Personale TOOOOOPPPPP
Si,No,No,8,,9,9,Si,8,No,Abbassare i costi
Si,No,No,10,,10,10,Si,10,Si,Trattamento super
Si,No,Si,10,Si,10,10,Si,9,Si,🔝
Si,No,No,10,,10,10,No,10,Si,Non ho suggerimenti
Si,Si,No,10,,10,10,Si,10,Si,"Consueta accoglienza di livello superiore, lavorazione tempestiva, attenzione al cliente. Restituita vettura lavata. Bravi continuate così."
No,No,Si,10,Si,10,10,Si,10,Si,Sistemato il mio camper nei tempi previsti ora dobbiamo solo metterlo alla prova....partendo.
Si,No,No,10,,10,10,Si,10,Si,"Il servizio mi sembra migliorato rispetto al passato. Molto comodo il servizio rapido. Un plauso a *** ***, per professionalità, cortesia e attenzione al cliente."
No,No,Si,9,No,9,9,No,8,No,Ho fatto presente al momento del pagamento che 100 euro per il solo montaggio di due semplici cablaggi (precedentemente acquistati a magazzino) mi sembrano onestamente troppi!
Si,No,Si,10,Si,10,10,Si,10,Si,"Grande disponibilità nelle occorrenze,puntualita e precisione nel risolvere i problemi meccanici. Molto buono l intrattenimento nelle attese per la consegna e per il ritiro delle autovetture che necessitano interventi meccanici."
No,Si,No,10,,10,10,,10,No,Sempre cortesi e disponibili
Si,No,No,10,,10,10,Si,10,Si,"Pee chi aspetta,sarebbe utile una zona definita con possibilità di ristoro"
Si,No,No,10,,10,10,Si,10,Si,"Personale simpatico e super competente, a fornito tutte le spiegazioni necessarie e veramente molto gentili, voto 10"
Si,No,No,9,,9,9,Si,9,No,Il prezzo è risultato elevato. Valuto soluzioni più economiche in futuro.
No,No,Si,10,No,10,8,Si,8,No,"Il numero di addetti all'accettazione è insufficiente. I tempi di attesa sono lunghi, specialmente per  i contatti telefonici. A livello tecnico, nel mio caso (AUTO completamente ELETTRICA), sono stati necessari due interventi per risolvere il problema. I"
Si,Si,No,9,,9,9,Si,9,Si,Auto di cortesia in attesa del tagliando a disposizione del cliente senza extra costi per il tempo del tagliando.
No,No,Si,10,Si,10,10,Si,10,Si,Continuate così professionalità e competenza.
Si,No,No,9,,9,10,Si,10,No,Percorro pochissimi km all'anno (circa 3.000) ma faccio il tagliando una volta all'anno per mantenere le garanzie. Mi piacerebbe che proponeste interventi più economici per chi utilizza l'auto poco come me.
Si,No,No,10,,10,10,Si,10,Si,Tutto ok. Consulente e intervento perfetto. Grazie.
Si,No,No,9,,10,10,Si,10,Si,"Tutto perfetto, tutti gentili, unico neo l’attesa."
Si,No,No,9,,10,10,Si,10,No,Non capisco lo scollamento tra quanto indicato per i lavori da effettuare in sede di prenotazione dell'appuntamento e quanto viceversa risulterebbe al consulente service al momento della compilazione della scheda di lavorazione e del relativo preventivo.
Si,No,No,10,,10,10,Si,10,Si,Nessun suggerimento da dare. Tutto mi è sembrato perfetto! Grazie
Si,No,No,10,,10,10,No,10,Si,Su mia richiesta sono state sostituite le spazzole anteriori. Le spazzole montate mi sembrano diverse da quelle originariamente montate dalla mia vettura (i10). Non sono stata informata di questa differenza.
Si,No,No,10,,10,10,Si,10,Si,"Il servizio di auto sostitutiva è da migliorare, avevo prenotato il tagliando per il giorno *** nonostante non avessi ricevuto conferma dall'officina della macchina sostitutiva mi sono lo stesso presentato a Trezzano dove mi hanno confermato la mancanza"
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio
No,Si,No,10,,10,10,,10,Si,Autotorino Tavernerio 10 stelle *** *** 10 stelle Officina e ragazze accoglienza 10 stelle Continuate  cosi
No,No,Si,10,Si,10,10,Si,10,Si,"Il sig. *** è gentilissimo, disponibile e professionale"
Si,No,No,10,,10,10,Si,10,Si,"Sempre gentili, professionalità sempre al top"
Si,No,No,10,,10,10,Si,10,Si,"I difetti da me segnalati sono stati ritenuti congeniti e non importanti né eliminarli, quindi si è preferito non affrontarli per non aumentare inutilmente il costo del tagliando"
Si,Si,No,10,,10,10,Si,10,Si,"Ottimo lavoro, professionisti,affidabile e rispettosi..."
Si,No,No,10,,10,10,Si,10,Si,Migliorare il sito per prenotazione tagliando ordinario.
Si,No,No,10,,10,10,Si,10,Si,"Sono stato accolto dalla signora *** MI HA SPIEGATO cosa avrebbero fatto per la manutenzione dei 60 000 chilometri,ho firmato i documenti di entrata avendo un ottima impressione,sono tornato poi verso le 18:00 e l'auto era pronta sempre con la sign"
Si,No,No,10,,10,10,Si,10,Si,Personale officina veramente molto professionale
Si,No,No,10,,10,10,Si,10,Si,Dipendenti professionali e gentili
Si,No,No,10,,10,10,Si,9,Si,"Apprezzato, puntualità, professionalità e attenzione."
Si,No,No,9,,9,9,Si,9,Si,Bravissimi e professionali
Si,No,No,9,,9,10,Si,10,Si,Vi è stato un piccolo malinteso sui tempi di lavorazione e riconsegna. L’addetto all’accettazione ha percepito il mio malcontento. Ancor prima di individuare la causa ha porto le scuse aziendali ed ha messo in atto azioni di recupero del cliente. Quindi
Si,No,No,10,,10,10,Si,10,Si,"Unica pecca il call center che mi ha contattato x fissare appuntamento mi ha detto che, avendo il pacchetto assistenza, la sostituzione delle pastiglie dei freni era gratuita, nessun problema ma comunicazione errata."
No,No,Si,1,No,2,6,Si,6,No,"I dipendenti dell officina hanno cercato di fare del loro meglio. Commento generale rivolto a BMW: la macchina e completamente difettosa. Acquistata il 30 settembre 2024 e stata in officina 4 volte: Difetto impianto frenante, auto ferma 1 settimana Guasto"
Si,No,No,10,,10,10,Si,9,Si,Nessuno
Si,No,No,9,,9,9,Si,9,No,Migliorare sala attesa con sedie più comode
Si,No,No,9,,9,9,Si,8,No,Costi troppo alti per un tagliando standard
Si,No,No,4,,4,6,Si,4,No,"Tutto è stato eseguito perfettamente, tranne il costo che mi è sembrato davvero troppo per un primo tagliando."
Si,No,No,1,,8,9,No,9,No,Ho rischiato la vita con un macchina mio figlio per cattiva manutenzione!!!!
Si,No,No,10,,10,10,No,9,Si,"Il preventivo di spesa andrebbe fatto e consegnato al cliente prima della lavorazione, giusto per informare lo stesso. Per il resto, la sede di Parma direi che la migliore di quelle che ho utilizzato tra Lombardia, Piemonte e Emilia."
No,No,Si,9,Si,9,5,No,7,No,"Procedure di ingresso e di ritiro auto troppo macchinose, poco trasparenti ed inutile perdita di tempo"
Si,No,No,10,,8,9,Si,9,Si,Tutto bene ma dal contatto con la reception non è successo nulla. Dopo un’ora andando direttamente ai banchi posteriori una ragazza molto “sveglia” ha risolto tutto. Al banco di prima accoglienza non gli è chiaro il ruolo. Per dire entra e siediti sui di
Si,No,No,10,,10,10,Si,10,Si,Gentilissima e professionale la Sig.ra ***
Si,No,No,9,,9,9,Si,9,Si,Ottimo servizio r gentilezza.
No,No,Si,4,No,4,6,Si,6,No,"Si lamenta quanto segue: - tempi lunghi per avere il preventivo e ancora più lunghi per la riparazione - impossibile parlare al telefono con l'officina nonostante quotidiane telefonate e promesse di essere richiamato - per elaborare un preventivo, comunq"
Si,No,No,9,,9,10,No,9,Si,Tagliando dei primi 1000 km
Si,No,No,9,,10,10,Si,9,No,Prezzi esagerati
Si,No,No,9,,10,10,Si,9,Si,"Appuntamento ore 16:00, disbrigo pratica per accettazione rapida, però poi presa in carico dell'officina ore 17:00, forse potevo recarmi in officina alle 16:55 visto che comunque ero l'ultimo cliente della giornata? Il giorno che ho preso appuntamento ho"
No,No,Si,3,No,5,7,No,3,No,"Insoddisfatta,senza aver trovato il problema e senza macchina sostitutiva"
Si,No,No,8,,10,10,No,10,No,Tempi di attesa al telefono lunghissimi/ privi di riscontro  alle mie varie telefonate
