Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Opinione Miglioramento Servizio
10,10,10,10,Una cosa sola... vi ho lascuato la mia auto C-Max Ford usata in permuta con tre quarti di serbatoio di carburante... voi mi consegnate la macchina nuova a secco... nemmeno il carburante per percorrere 50 km e tornare a casa ! Questo... a fronte di un acqu
10,10,10,10,Nulla
3,9,3,5,Tutto
10,10,10,10,Sono completamente soddisfatto del servizio Mi aspetto che la vettura vada alla grande
10,10,10,10,NON TROVO ALCUN DIFETTO RELATIVO AI SERVIZI OFFERTI IN QUANTO MI E' SEMBRATO TUTTO MOLTO BEN ORGANIZZATO.
10,10,10,10,Bene così
9,10,9,9,essere più dettagliati e precisi nelle consegne
9,9,9,5,"I tempi di attesa per la consegna dell’auto usata sono stati particolarmente lunghi, sapendo che l’auto era in deposito a Torino Inoltre la gestione interna con officina ha portato ad allungamenti sui tempi e nonostante ciò la vettura, pronta x la consegn"
10,10,10,10,Minore attesa nella consegna dell'auto :-)
9,9,9,9,"Sono soddisfatta. I tempi di attesa per la consegna,sono stati rispettati. Il venditore è stato disponibile ed esauriente, nonché gentile,come tutto il personale nel salone."
9,10,10,10,"Soddisfatto a pieno del servizio, forse una maggiore spiegazione di come avviene finanziamento e firma contratto"
10,10,10,10,Due volte ci siamo affidati ai servizi di Autotorino.Penso che questo fatto parla da solo!
9,9,9,5,"Rispetto delle tempistiche, che è evidente non vengano rispettate per giocare su discorsi di fatturazione a fine mese. Inoltre, poiché lascio un.veicolo per acquistarne un altro di un valore inferiore,.mi sarei aspettato di uscire dalla concessionaria con"
10,10,10,10,Per adesso tutto perfetto
9,9,9,8,La fase di consegna dell auto
10,10,10,10,Siete già il TOP
10,10,10,10,I tempi di consegna. Nel mio caso troppo lunghi
10,10,10,10,Offrire uno spuntino/bibite ai clienti che vengono ad acquistare il mezzo
9,10,9,9,Va bene così
10,10,10,10,Tutto perfetto!
8,9,7,7,Controlli più approfonditi prima della consegna dell'usato. Dopo 11 giorni dal ritiro della macchina oggi ho dovuto riportarla in concessionaria per 4 spie accese e luce 3 stop off
10,10,10,10,Tutto ok
10,10,10,10,Il venditore è professionale come tutto lo staff . Ma alla consegna della autovettura c’è stato un episodio che a mio parere un po’ esagerato il venditore voleva offrire il caffè alla macchinetta e non trovava la chiavetta una segretaria tutta arrabbiata
10,10,10,9,"Dalla mia esperienza, nulla da suggerire."
1,2,1,2,"La comunicazione in generale, in particolare per il post vendita ed in consegna. Rispondere in maniera chiara alle richieste, fornire spiegazioni esaustive dei documenti che si firmano. Dedicare un tempo sufficiente per la consegna. Consegnare nei tempi c"
7,9,8,6,La consegna va curata dal venditore e non da altro personale che non ha mai trattato con il cliente.Il verbale di consegna con check-list va compilato e firmato DOPO la consegna e non prima in ufficio.Lo stato di conservazione (generico) dichiarato per tu
10,10,10,10,Nulla
10,10,10,10,Va bene così.
8,9,8,9,Cosegna più veloce
10,9,10,10,Grazie siete super a ***.
9,9,8,8,La consegna delle autovetture ci sono volute tre settimane per la consegna
10,10,10,10,"Al momento non riscontro aree di miglioramento, è tutto perfetto così."
10,10,10,10,piu cura nella pulizia consegna auto
10,10,10,10,Far fare un check up completo delle autovetture usate e provarle in strada.
2,9,2,3,"I tempi di consegna soprattutto dell’usato,, la trasparenza delle informazioni, (le bugie vengono sempre a galla)  informazioni più puntuali senza avere la necessità di rincorrere, telefonicamente il referente, utilizzare il telefono e non la mail per le"
2,7,2,4,Più chiarezza sì dall’inizio e al momento di visionare la macchina più tempo a disposizione e più pulita anche mettendo in evidenza i difetti della macchina
1,1,1,1,"HO RISCONTRATO DIFFICOLTA' NEI CONTATTI, NON RISPONDONO AL TELEFONO NE' ALLE MAIL. HO CONCORDATO LA SOSTITUZIONE DELLE CORNICI FARI ANTERIORI E POSTERIORI, PAGANDO UN EXTRA DI EURO 200. NON SOLO LA SOSTITUZIONE NON E' STATA ESEGUITA, MA DELLE QUATTRO CORN"
10,10,10,10,Va bene così
9,9,9,6,"potreste migliorare informando i clienti che la caparra per l'acquisto dell'auto, quando deve essere restituita, non avviene in tempi brevi ma entro trenta gg dalla consegna dell'auto a mio avviso non corretto perche' con tutte le caparre noi clienti per"
2,6,4,3,18 gg dal contratto alla consegna per un auto usata presente in salone e senza lavori da fare! E dopo 4 solleciti. Incredibile. Dopo 10 gg dal pagamento l auto è stata consegnata ancora senza documenti definitivi. Incredibile. Consegna senza la minima spi
8,9,8,9,Sarebbe più gradevole una minore insistenza sui finanziamenti e sulle assicurazioni proposte quando il cliente non ne ha necessità.
10,10,10,10,"Credo che non ci sia nulla da migliorare, sono tutti professionali, disponibili . Compimenti"
3,8,3,3,Migliorando in modo significativo tutti i punti indicati sopra che considero decisamente importanti tanto quanto sono decisamente gravi le mancanze riscontrate. Sto ancora aspettando un riscontro sulla sostituzione di pezzi mancanti (e non segnalati) dell
9,9,9,9,Andate avanti cosi
10,10,10,10,Niente
9,9,9,9,"C'è sempre la possibilità di migliorare in qualsiasi caso, l' importante per me è che non si scenda dal servizio che ho trovato nel vostro punto vendita di ***. Buon lavoro e buona giornata a tutti voi in particolare al Signor *** ch"
9,10,9,10,"Essere più esplicativi e cristallini spiegando tutto in modo capillare specie per l'usato al momento dell'acquisto, e quando si promette una cosa sia rispettata."
10,10,10,10,Non saprei perché il servizio è stato impeccabile
10,10,10,10,Siete super
10,10,10,10,La velocità nella consegna del veicolo
4,7,5,5,La macchina mi è stata consegnata con l'intero dei due sportelli danneggiati . Quando mi sono accorto del danno sono stati superficiali trovando una scusa dicendomi che gli interventi degni sportelli non riguardano i controlli che fanno di solito in offic
7,10,6,5,"Hai acquistato 3 vetture da voi. Le prime due vendite sono state perfette. L'ultima direi proprio di no...sto ancora aspettando (dopo più o meno 2 mesi) di avere l'auto e ad oggi non so ancora nulla...il personale non ha alcuna informazione da darmi, il d"
10,10,10,10,Non avrei suggerimenti
9,9,9,9,La rapidità nella consegna delle auto
10,10,10,10,Ho avuto contatti  con *** e *** di Cremona: entrambi molto preparati e professionali.
8,10,10,10,"Non e’ chiara la “ scheda tecnica allegata al contratto”  tra valori di usura veicolo acquistato ma con la relativa percentuale a carico acquirente, inoltre non e’ prevista la normale garanzia di un anno come di consueto da legge."
10,10,10,9,Più attenzione alla consegna
10,10,10,10,Siete bravissimo 100/100 di parole e puntuali grazie mille per belisimo *** XC 60
10,10,10,10,"È andato tutto molto bene, grazie per il servizio e assistenza alla vendita. Grazie mille a *** *** che ha svolto un ottimo lavoro, che mi ha seguito anche il finesettimana e ha trovato la macchina dei miei sogni!!! Avrei trovato corretto uno sc"
10,10,10,10,Continuando così
10,10,10,10,è perfetto!
10,10,10,10,"Buongiorno, In base all'esperienza avuta, ritengo vi sia poco spazio per apportare miglioramenti. soddisfatto sotto ogni punto di vista."
8,4,8,6,Consegnare le auto in modo completo Di seguito tutto quello che è successo nella mia consegna - ritardo consegna di qualche giorno - non lavata - non controllata (problemi impianto frenante) - gilet giallo inserito uno usato - assieme alle chiavi un por
2,5,2,2,"Trattandosi di un auto aziendale della vostra concessionaria non è ammissibile che venga consegnata in certe condizioni: volante scucito, una botta nella portiera, maniglie segnate, paraurti ritoccato senza poi esser stato lucidato, due guarnizioni rovina"
10,10,10,10,Sinceramente non saprei cosa consigliarvi per fare meglio di così.
10,10,10,10,Niente da segnalare
7,7,6,7,Tempistiche Proposta assicurativa
10,10,10,10,Nulla
10,10,10,10,"Non saprei suggerire consigli, il servizio è al TOP."
8,9,8,9,"Avevo ricevuto e concordato il prezzo di una CLA 180 il venerdì ,il capo vendita mi ha confermato una Smart mai richiesta.Il lunedì sono venuto per lasciare l’acconto per la CLA 180 ,mi viene riferito che è stata venduta(?). E’la terza macchina che compro"
7,9,8,5,"Maggiore integrazione fra la fase di vendita e di consegna: appena conclusa la vendita ho dovuto fare presente io una serie di aspetti fra cui l'urgenza della consegna, problema di una guarnizione fatta presente al venditore che non è stata sistemata per"
10,10,10,10,"Complessivamente molto soddisfatto, sia dell'efficienza dei servizi che della cortesia e disponibilità del personale."
10,10,10,10,PER ORA TUTTO OK
10,10,10,10,Per ora nulla. Complimenti al venditore che è stato professionale e serio.
9,9,9,9,"Avrei gradito,su un valore di acquisto oltre i 22.000 euro, la sostituzione gratuita delle gomme, non al limite, ma consunte. Difficile stimare se siano effettivamente al di sopra del 30%"
10,10,10,10,È ottimo
8,9,10,2,Non ho ancora ricevuto l’auto….
9,10,10,9,La consegna dell’auto alla luce del sole e non in un salone tra il chiaro e lo scuro dove piccoli segni sull’auto e ritocchini fatti male che non si vedono. Del resto io consegnavo un Audi impeccabile la vostra no.
10,10,10,10,"Buongiorno L unica cosa che potreste fare e fare un pacchetto di gadget alla consegna Qualche regalo o un buono vacanza,come no è capitato con dei vostri concorrenti"
10,10,10,10,Nulla perché è stato tutto molto professionale
2,10,10,2,"Consegnare le macchine in perfetto stato, lucidate e pulite! Quello che è successo nel mio caso è assolutamente da proscrivere. Spero che Autotorino rimedierà aglio errori fatti."
9,9,9,10,La raccomandata inviata da amministrazione di intimazione pagamenti non necessaria perché le tempistiche pattuite con il venditore prevedevano altre tempistiche ….. complimenti invece al venditore che è stato sempre cortese e professionale.
8,10,10,4,Diminuire i tempi di consegna. Oltre un mese di attesa è troppo
3,9,5,4,"Il sevizio post vendita molto scadente, in quanto ho chiamato il venditore per un problema con il cavo di ricarica il giorno dopo la consegna, non ho ricevuto risposta e il venditore non mi ha mai richiamata. Inoltre, ho contattato lunedì 23/06 l’assisten"
10,10,10,10,"Tutto perfetto,"
9,9,9,9,Sostanzialmente la comunicazione del reparto amministrativo potrebbe avere un update in ordine alla comunicazione pro attiva col cliente . Per il resto ok
8,9,7,9,Andare più incontro al cliente… se consegnate un auto con un pezzo rotto…. Dovete sostituirlo senza fare storie…
8,6,6,6,Seconda Auto acquistata La prima Mercedes filiale di Corbetta Tutto ok La seconda BMW in filiale Gattico Non lo consiglio …. Auto con parti mancanti interni sporchi Luci posteriori che non vanno
10,10,10,10,Niente va benissimo cosi
3,7,3,3,Rispondere alle mail e chiamate di richiesta di assistenza su veicolo appena acquistato e che presenta dei problemi tecnici. Il servizio post vendita è veramente pessimo
1,8,1,1,"A pochi giorni dalla data prevista per il ritiro, non essendo stato chiamato dal concessionario, l’ho contattato personalmente. Mi è stato detto che l’auto era già pronta e che era strano che nessuno mi avesse contattato. Recatomi in concessionaria ho sco"
10,10,10,10,Al momento della consegna auto più informazioni
10,10,10,10,Non ho suggerimenti
9,9,10,10,"Sicuramente i tempi di attesa, tra acquisto auto usata, controlli vari e immatricolazione , consegna al cliente."
5,9,3,3,Rispettare le tempistiche di consegna (l’autovettura mi è stata consegnata con oltre un mese di ritardo). Controllo sul servizio di lucidatura post vendita in quanto ben due tentativi di consegna dell’autovettura sono falliti in quanto sono stata avvisata
9,9,9,7,"in generale il servizio è stato positivo ma bisogna migliorare la comunicazione verso il cliente. In particolare se ci sono dei ritardi nella consegna, è necessario rassicurarlo e dargli informazioni per tranquillizzarlo che i processi e le pratiche stann"
10,10,10,10,Per ora non ho suggerimenti da proporre.
10,10,10,10,Ottimo servizio e professionalità
2,4,4,3,Ho chiesto il rimborso tramite PEC di quanto saldato per l'acquisto di una macchina. Per incomprensioni varie non avevo inteso la quantità smodata di soldi legati a assicurazioni varie da pagare mensilmente - non inclusive peraltro della responsabilità ci
5,9,9,5,Servizio assistenza post vendita. Attendo da una settimana di venire richiamata per la risoluzione di un problema elettronico.
10,9,9,10,Siete bravi  Siete professionisti
9,10,10,10,Direi che tutto il processo di consegna è stato eseguito bene
9,10,10,9,Nulla
10,10,10,10,Niente e tutto perfetto infatti ho acquisto pure la mia seconda macchina
10,10,10,10,Nessun consiglio
10,10,10,10,Niente da dire continuate così siete nr 1
10,10,10,10,Nulla Ultra contento del servizio e della nuova auto
9,10,9,6,"Auto consegnata con un problema al finestrino lato passeggero che non funzionava..assurdo non sia stata vista questa cosa post tagliando appena fatto,appena visto sono tornato al concessionario e' stato valutato il problema dicendomi che andava ordinato u"
10,10,9,9,NULLA
10,10,10,10,"Nulla, servizio al top!"
10,10,10,10,"Onestamente non saprei, il servizio è già al top sotto tutti gli aspetti"
10,9,9,9,Creare una scheda sintetica con le condizioni dei veicoli usati e una guida rapida dell'auto scelta per gli acquirenti di auto usate
5,4,3,2,Un servizio troppo lento
10,10,10,10,"Penso nulla, completamente soddisfatto"
10,10,10,10,Personalmente lo ritengo perfetto e funzionale
10,10,10,9,Siete i migliori 👍👍👍
10,10,10,10,Continuate così slt
10,10,10,10,"Prima di consegnare una vettura, anche se usata, assicuratevi che funzioni davvero tutto. Nel mio caso il software della BMW X1 non è stato aggiornato (ultimo aggiornamento luglio 2024), ciò vuol dire non poter creare un profilo BMW ID e di conseguenza no"
10,10,10,10,Assolutamente nulla.
10,10,10,10,Servizio soddisfacente e cordialità e professionalità dell’intero personale.
9,10,9,3,Purtroppo non avete verificato lo stato dell'aria condizionata che non funziona. Reputo questa mancanza molto grave che mi porterà a perdere un giorno di lavoro per portare l'auto a Autotorino Pordenone per verifiche e ripristino.
10,10,10,10,Per me va benissimo così grazie
10,10,9,10,Niente siete perfetti
9,9,9,9,La vostra azienda sta facendo un ottimo lavoro. Mi piace. Rendete le cose il più semplici possibile per il cliente
10,10,10,10,Per quanto riguarda la mia esperienza siete stati tutti eccellenti.
9,10,9,9,"Essere un po più proattivo nel servizio. Ero io a chiedere delle informazioni per la data di consegna dopo un mese di ""silenzio"". Durante la consegna il servizio è stato top e ho ricevuto tutte le informazioni necessarie in merito all'autovettura."
9,9,9,9,Non saprei cosa consigliarvi .. secondo me siete già a un buon livello
10,10,10,10,Il servizio è già eccellente!
10,9,10,10,Al momento non ho nessun consiglio da darvi poiché per me è stato tutto perfetto
9,9,9,7,"Quando avrò il libretto di circolazione e il certificato di proprietà, risponderò al meglio! Nn conosco ancora la scadenza certificata del bollo auto e inoltre mancavano i tappetini, cmq arrivati in breve tempo!"
10,10,10,10,Niente  tutto perfetto
9,9,9,9,Bene
10,10,10,10,Tempi dí consegna inutilmente lunghi
10,10,10,10,"Tempistiche per le pratiche, rapporto più amichevole con il cliente e disponibilità"
2,1,3,5,"tutto da rifare , personale poco idoneo a presentare il veicolo preventivi che oscillavano senza senso"
10,10,10,10,non saprei ma io sono rimasto molto soddisfatto
10,10,9,10,"Ho avuto una esperienza veramente positiva con il gruppo di Varese professionisti e serietà ,*** professionale consiglio ."
10,10,10,10,I prezzi
10,10,10,10,Il contatto con l’assistenza service
10,10,10,10,niente!!!!
9,9,9,9,"Poco, va tutto bene."
1,7,1,1,"Non promettete cose che non potete mantenere e non le danneggiate quando le consegnate. Venditore di Curno mi ha detto che avrei ricevuto l'auto entro 2-3 settimane (inizio di giugno). In realtà, per la prima fase ci voleva 3 settimane e la seconda 1 sett"
10,10,10,10,"Nulla, sono rimasto molto soddisfatto, dalla vendita fino alla consegna dell'autovettura, simpatia, professionalità e serietà."
10,10,10,10,tempi di consegna vettura.
5,9,9,10,"Potreste essere più cortesi con il servizio Officina, in quanto mi è stato dato un appuntamento per sistemare il Car Play che non funziona e quando mi sono recata lì non è stato effettuato il servizio per mancanza di tempo. Mi hanno rinviato ad un altro a"
10,10,10,10,"AutoTorino Varese e perfetto così com'e. i Dir.*** ha fatto un grandissimo lavoro creare un team così competente,efficace e gentile non si vede spesso. Team 10+++"
6,9,9,9,"Sicuramente i tempi di consegna, ho acquistato la mia auto il *** dicendomi che la consegna sarebbe stata dopo un mese, peccato che la macchina dopo svariate telefonata l’ho ricevuta il ***,al momento del ritiro mi accorgo che si erano stati"
10,10,9,10,Non saprei perché ci siamo trovati bene
10,10,10,10,Per la scelta di’ un’autovettura mi ritengo soddisfatto
10,10,10,10,Non saprei
9,9,10,9,Disponibilità e flessibilità nell’orario dei servizi
10,10,10,10,"Il vostro punto vendita è elegante, pulito, e accogliente l esperienza avuta con il venditore *** che ancora oggi mi segue su ogni domanda e stata completa. Grazie"
10,10,10,10,Il servizio è eccellente
10,10,10,10,"Non penso di poter chiedere altro ,sono più di 15 anni che acquisto da Voi ,e vedo sempre migliorare i servizi offerti."
10,10,10,10,Perfetto
10,10,10,10,Non ho riscontrato punti da migliorare.
5,8,5,5,Bisogna non prendere in giro le persone: tempi di attesa non rispettati...mi era stato detto che sarebbero state  cambiate le ruote ...la spiegazione del veicolo non fatta.
10,10,10,10,Filiale più vicino alla Basilicata e possibilità di ricevere un passaggio dall Aereoporto alla filiale
10,10,10,10,Nulla
10,10,10,10,Niente
10,10,10,10,Tutto sommato mi sembra andare bene cosi
9,9,9,5,Specificare meglio le date per la consegna
9,9,9,9,ho ritirato una serie 2 l'altra settimana tt ok a parte che non ci sono nessun tipo di attrezzi: Triangolo di emergenza attrezzi per un eventuale emergenza e manca anche il kit di gonfiaggio in caso di foratura Grazie
9,9,9,9,Direi al momento nulla.
10,10,10,10,Tutto ok
10,10,10,10,"Complimenti, auto impeccabile"
10,10,10,9,va bene così
10,10,10,10,"Nel mio caso non riesco a trovare nulla da suggerire. Cercavo la macchina, nella mia regione non l'ho trovata. Ho trovato voi come consessionario più vicino. Fatto tutto al telefono in modo fluido. Relativamente al vs brand, ho saputo dopo da amici che si"
4,9,2,2,"Evitate di fare contratti, quando dopo non vengono rispettati. Ha da 40 giorni è ancora non ho nessuna notizia della consegna per la mia macchina, sapendo già tutto quando abbiamo stipulato il contratto che la macchina che ho dato in permuta era intestata"
10,10,10,10,Tutto ottimo
10,10,10,10,Nulla in più di quanto trovato
4,4,4,4,Comunicazione tra venditore e officina
2,3,2,2,"Intanto che mi venga consegnata l'auto che ho scelto su proposta del venditore. Ho fermato l'auto a metà Maggio, l'ho vista a fine Maggio una volta portata da Roma e Modena, c'e'stato il passaggio di proprietà, il 5 Luglio pagherò la prima rata, ma l'auto"
9,9,9,9,A mio modesto parere nulla di più di quello che avete fatto… professionali
10,10,10,10,"Direi ben poco,piuttosto dovremmo essere noi clienti soddisfatti a garantire, con la nostra ottima esperienza con voi, a parenti ,amici e conoscenti l'efficienza, la competenza e la professionalità di tutto il vostro gruppo"
9,9,9,9,Essere certi che tutte le spiegazioni siano complete e comprensibili
9,10,10,9,A
10,9,10,10,Possibilità acquisto senza assicurazioni nel pacchetto
9,9,9,9,Va bene cosi
10,10,10,10,Bisogna curare di più le auto in consegna soprattutto nella pulizia e nella carrozzeria...( ho un sensore bianco perché si e staccata la vernice..) e mancano 2 tappi isofix sul divano posteriore
1,1,1,1,"Più cortesia e disponibilità verso i clienti ,specialmente dopo la vendita"
10,9,10,10,"Mettendo a disposizione del cliente la possibilita' di personalizzare e completare il veicolo con vari accessori estetici e funzionali, es.ruotino..."
10,10,10,10,"Sono rimasto estremamente soddisfatto del trattamento ricevuto, in particolar modo nella persona di *** , Bmw motorrad e qualche mese fa nella persona di *** Bmw auto che ha seguito mio figlio per l'acquisto di un'auto Bmw. Person"
9,9,7,7,Trasparenza e comunicazione con i commerciali di riferimento
10,10,10,10,"Personalmente nella Filiale di Induno Olona ho trovato educazione, cortesia e professionalità cosa che non ho trovato in un altro vostro concessionario, e purtroppo non è stato un caso isolato Sarebbe opportuno uniformare lo standard dei servizi ma soprat"
10,10,10,10,Niente in particolare
2,10,1,10,"Venditori più chiari, e che rispettino i contratti firmati senza cambiamenti (attivazione di garanzie/polizze MAI menzionate durante trattativa o presenti sul documento di acquisto) /richieste maggiori di soldi *DOPO* aver firmato il contratto di acquisto"
1,1,1,1,"Pessima esperienza purtroppo, non comprerò mai più un’auto da AutoTorino. Mi spiace molto anche perché speravo che comprando una macchina di qualità si avesse anche un servizio di qualità, che é totalmente venuto a mancare."
10,10,10,10,Nulla tutto a mio avviso perfetto
9,8,10,9,"Il primo contatto con il vostro personale è stato piuttosto negativo, sia reception che venditore Fortunatamente in un secondo momento ho parlato con un venditore molto più disponibile e cortese, con cui poi ho concluso la trattativa"
2,9,1,1,Controlli migliori dei veicoli
10,9,10,9,La scontistica
7,9,7,2,Rispettando le consegne per l'acquisto di un autovettura
7,7,9,5,"Riducendo I tempi di consegna e formando un front desk decente. Il venditore era ok , ma 6 mesi per una km 0 , per poi dover passare ad un usato perché  la kn 0 non ancora pronta"
10,10,10,10,Nd
2,9,5,1,"Puntualitità Organizzazione Comunicazione Sincerità Dire la verità al cliente  è un punto a favore  , è un valore aggiunto , creare false speranze fa perdere credibilità . I numeri che fate , ve li facciamo fare noi ! Buona giornata"
9,10,9,10,Al momento della trattativa per l’acquisto non sono stato informato circa i dettagli della garanzia (percentuali usura che ipotecano garanzia)
10,10,10,10,Nulla
10,10,10,9,Sono stata molto contenta della vostra collaborazione in particolare dell assistenza avuta da *** sempre disponibile Grazie ***
10,10,10,10,Non so
10,10,10,10,va bene così
10,9,10,10,"Nel mio caso non c'era nulla da migliorare, mi sono trovato molto bene e alle mie domande c'era sempre una risposta breve e coincisa"
2,9,2,2,"L'unico modo per migliorare il servizio per me è cambiare concessionario. 2 mesi e mezzo per avere una macchina usata che, tra l'altro, nn è ancora stata consegnata. I soldi li avete voluti subito però. Se la costruivo io ci impiegavo meno tempo. Una sett"
1,1,7,1,Cominciando col mettervi al posto del cliente e chiedervi costantemente: ma se fossi al suo posto sarei soddisfatto?
10,10,10,10,"Alla consegna delle auto, consegnarle lavate."
9,9,8,8,"I vostri dipendenti sono molto bravi nel fare l'interesse dell'azienda e si adoperano molto nel proporre pacchetti che migliorano il fatturato dell'azienda, anche se non sono convenienti per il cliente, però questo atteggiamento non mette a proprio agio i"
9,9,9,9,Nulla
10,10,10,10,Niente da dire! *** top venditore! Ci siamo trovati benissimo!
9,9,9,9,ok
10,10,10,10,Va bene così
10,10,10,10,Niente è perfetto così com’è
10,10,10,9,Non credo che ci siano margini di miglioramento visto l’ottimo servizio fornito.
10,10,10,10,"Siete stati tutti bravi - grazie mille *** (venditore), *** e ***(consegna) e ragazzo che ha spiegato la machina - siete molto gentili e attenti. Alta precisione e attenzione su dettagli. Anche il venditore di accessori e stato molto simpatico."
9,9,9,9,Non saprei
10,10,10,10,"Come prima esperienza non ho notato nessun difetto. Al mio arrivo ho avuto un’ottima accoglienza. Il venditore con poche domande ha capito le mie esigenze, i miei tempi e con professionalità ha dato diverse soluzioni. Ha risposto a tutte le domande fatte"
9,9,7,9,"Sicuramente i tempi di consegna del veicolo acquistato sono troppo lunghi un mese mi sembra esagerato e poi i venditori non dovrebbero promettere cio' che non possono mantenere, tra l'altro con lavori fatti eseguire malissimo pur di vendere il prodotto (a"
9,9,9,9,Bene così
10,10,10,10,"Niente,è già perfetto com'è."
10,10,9,10,Continuate con la considerazione del  valore del cliente
10,10,10,10,Ritirato la vettura ieri 10/0625. Per il momento è  tutto ok!!!!!!
10,10,10,10,*** top e *** top
9,9,9,9,IL RISPETTO DEGLI ACCORDI PRESI CON IL VOSTRO VENDITORE
9,9,9,9,Nulla tutto perfetto
10,10,10,10,"Niente , per me è stato tutto perfetto !"
9,10,10,10,Direi al momento nulla.
10,10,10,10,Filiale più vicino alla Basilicata e possibilità di ricevere un passaggio dall Aereoporto alla filiale
10,10,10,10,Nulla avete del personale molto professionale
10,10,10,10,niente
10,10,10,10,"Servizio molto professionale e tempi rispettati, sono soddisfatta"
9,10,10,10,Da migliorare la comunicazione tra filiali e tra i vari reparti della filiale
10,10,10,10,Tutto soddisfacente
8,7,7,4,"Tempi di consegna biblici , pagata la moto 2 settimane per averla , comprato una 500 3 mesi per averla .... Dovete migliorare o riorganizzare le consegne"
10,10,10,9,Nn saprei x la mia esperienza nulla siete al 🔝
9,10,9,9,"Al momento direi nulla, forse solo il controllo più approfondito in officina della vettura."
9,7,9,7,Rispettare tempistiche di consegna e consegnare auto senza alcun danno
9,9,9,8,"Il parcheggio clienti, è decisamente insufficiente,come disponibilità di posti."
9,10,9,8,I tempi di consegna troppo lunghi oltre i 40 giorni
9,9,9,9,Organizzazione appuntamenti su filiale ***
1,5,1,1,tutto
1,1,1,1,Ho avuto una pessima esperienza con il caomparto consegna vetture usate Roma Ovest e con il responsabile vendite di quella filiale. le problematiche riscontrate sono state segnalate tramite pec.
9,9,9,9,"Nel mio caso ,anchen se trattandosi dell'acquisto di un usato ,.. avrei comunque apprezzato un minimo , anche poco di trattativa sul prezzo. Cosa che non è avvenuta. Sono comunque soddisfatto dell'acquisto,  dovuto soprattutto al mezzo ! Rimane il fatto"
7,9,7,4,"maggiore attenzione agli aggiornamenti dell'auto prima della consegna, e risposta più pronta dopo la consegna."
9,9,9,9,Personale gestione pratiche più attento
10,9,10,9,I tempi di consegna sono troppo lunghi trattandosi di auto usate… nel mio caso che è stato sbagliato l’ordine della macchina ho aspettato 8 settimane totali ( di cui le ultime 2 fortunatamente con auto sostitutiva)
9,9,9,6,Tempi di consegna più garantiti
10,10,10,10,Ottimo servizio
10,10,10,10,"Tutto ok, venditore molto professionale e competente"
10,10,10,10,La pulizia della macchina non era delle migliori
10,10,10,10,Restare così come siete.
1,10,1,9,Non prendere in giro il clienti (caso mio ) senza motivo
10,10,10,10,Andare avanti cosi !!
10,10,10,10,Accelerare sui tempi di consegna dalla conferma d'acquisto
9,7,7,2,"Tempistica di consegna 2/10 Non ho ancora l'auto. Devo aspettare l'approvazione della revisione tecnica, che viene fatta ogni due anni. Poi mi manderanno la fattura, il  libretto cosi acquisto  L'assicurazione e aspetterò la chiamata da Biella per ritira"
10,10,10,10,Sono soddisfatto già così.
10,10,10,10,Diminuendo i tempi di consegna! Cordiali saluti.
10,10,10,10,Velocità nella consegna del veicolo proveniente da un'altra Autotorino
10,10,10,10,"Sono un cliente molto esigente e a volte rompi scatole, però devo dire che siete stati tutti molto cortesi e pazienti... non vedo cose da migliorare..."
9,9,9,9,"Probabilmente essere un po’ piu attenti all’acquirente , mi sono accorto che la vettura ha due bolli da grandine sul cofano .  volevo chiedere se è possibile aggiornare la schedina estraibile del navigatore che è datata 2016 magari c’è una versione più re"
10,9,10,10,Per mio parere personale tutto molto bene
1,1,1,1,"Esperienza pessima, venditore non trasparente e impiegate indisponibili."
9,9,9,9,Per me nulla
6,9,9,2,"Da migliorare la parte della consegna della quale non sono per nulla soddisfatta. La vettura mi è stata consegnata non molto pulita senza liquido lavavetri che erano sporchi, arrivata a casa apro il cofano e trovo la batteria senza il suo coperchio che po"
10,10,10,10,
10,10,10,10,"Soddisfatto in tutto, agenzia seria, personale estremamente cortese e disponibile"
10,10,10,10,forse un po più veloce la consegna per il resto tutto perfetto
1,9,1,1,ESSERE CORRETTI SUI TEMPI DI CONSEGNA DI UNA AUTO USATA E POTER AVERE UN ACCENNO DI SCONTO SOPRATTUTTO QUANDO NON VIENE PRESA IN PERMUTA LA PROPRIA AUTO PER UNA VALUTAZIONE TROPPO BASSA.RIMANGO INSODDISFATTO DEL TRATTAMENTO RICEVUTO.
10,9,9,9,Tempi di arrivo e consegna vetture
9,9,9,7,L'auto presenta una tubazione nel vano motore danneggiata. Causa blocco stradale per giro d'italia sono arrivato in ritardo e la spiegazione del funzionamento é stata frettolosa e nel piazzale al sole...
10,10,10,10,"Buongiorno,state facendo on ottimo e professionale lavoro. Tengo a ringraziare al personale specialmente a *** *** e *** *** per la loro accoglienza e professionalità. Cordiali saluti *** ***"
10,10,10,10,Personale eccellente
10,10,10,10,Sono rimasto piacevolmente colpito dalla serietà di tutta l'azienda.
10,10,10,10,Di mettere più foto di macchine a disposizione sul sito. Del resto tutto apposto
10,10,10,10,Se un auto aziendale l’avete in n altro luogo dovreste più agevolmente riuscire a farla arrivare nella concessionaria dov’è  c’è’ Il cliente  così che la possa vedere dal vero
10,10,10,10,Nulla da migliorare.
